Rooms;Type;Size;Price;Address
5;lejlighed;109 m²;22.300  kr.;København V, Bag Elefanterne
3;lejlighed;98 m²;16.900  kr.;København S, Strandlodsvej
1;lejlighed;31 m²;8.200  kr.;Vanløse, Vanløse Allé
1;lejlighed;29 m²;8.200  kr.;Valby, Poul Bundgaards Vej
1;lejlighed;32 m²;8.150  kr.;Valby, Gammel Køge Landevej
1;lejlighed;31 m²;8.400  kr.;Frederiksberg, Finsensvej
2;lejlighed;51 m²;11.600  kr.;Brønshøj, Gadelandet
1;lejlighed;44 m²;9.950  kr.;København S, Ved Amagerbanen
3;lejlighed;90 m²;12.463  kr.;Brønshøj, Frederikssundsvej
4;lejlighed;90 m²;12.150  kr.;Brøndby, Kirkebjerg Parkvej
1;lejlighed;37 m²;8.895  kr.;Frederiksberg, Nordre Fasanvej
1;lejlighed;37 m²;8.895  kr.;Frederiksberg, Nordre Fasanvej
3;lejlighed;86 m²;12.500  kr.;Hedehusene, Svanegade
7;hus;200 m²;28.000  kr.;Holte, Fyrresvinget
3;lejlighed;87 m²;14.500  kr.;København S, Else Alfelts Vej
1;værelse;7 m²;3.200  kr.;Vanløse, Skjulhøj Allé
3;lejlighed;77 m²;14.700  kr.;København S, Else Alfelts Vej
3;lejlighed;105 m²;18.500  kr.;København S, Else Alfelts Vej
4;lejlighed;104 m²;16.300  kr.;København S, Else Alfelts Vej
2;lejlighed;57 m²;9.450  kr.;Kongens Lyngby, Johan Wilmanns Vej
2;lejlighed;50 m²;12.000  kr.;Frederiksberg, Preben Kaas' Vænge
2;lejlighed;50 m²;12.000  kr.;Frederiksberg, Preben Kaas' Vænge
1;lejlighed;44 m²;5.500  kr.;Søborg, Høje Gladsaxe
4;lejlighed;94 m²;11.800  kr.;Hedehusene, Cikoriegade
4;lejlighed;91 m²;11.700  kr.;Hedehusene, Cikoriegade
4;lejlighed;91 m²;11.700  kr.;Hedehusene, Cikoriegade
2;lejlighed;50 m²;5.700  kr.;København N, Fælledvej
3;lejlighed;79 m²;11.000  kr.;Hedehusene, Blåfuglestræde
2;lejlighed;69 m²;16.500  kr.;København V, Fadet
3;lejlighed;82 m²;11.200  kr.;Hedehusene, Blåfuglestræde
6;lejlighed;138 m²;24.500  kr.;København S, Lindgreens Allé
2;lejlighed;55 m²;13.400  kr.;København S, Emma Gads Vej
1;lejlighed;55 m²;9.100  kr.;København SV, Støberigade
3;lejlighed;74 m²;10.600  kr.;Hedehusene, Cikoriegade
3;lejlighed;78 m²;10.600  kr.;Hedehusene, Cikoriegade
3;lejlighed;83 m²;11.200  kr.;Hedehusene, Cikoriegade
1;værelse;36 m²;7.950  kr.;København SV, Poppelstykket
2;lejlighed;55 m²;9.300  kr.;Hedehusene, Cikoriegade
2;lejlighed;53 m²;9.200  kr.;Hedehusene, Cikoriegade
4;lejlighed;87 m²;12.200  kr.;København K, Gammeltorv
2;lejlighed;68 m²;13.800  kr.;København S, Emma Gads Vej
3;lejlighed;84 m²;15.600  kr.;Valby, Elstarvej
4;lejlighed;105 m²;18.000  kr.;København V, Eskildsgade
1;lejlighed;37 m²;8.700  kr.;København NV, Lærkevej
1;lejlighed;40 m²;10.000  kr.;København NV, Lærkevej
2;lejlighed;67 m²;12.850  kr.;København S, Else Alfelts Vej
4;lejlighed;95 m²;18.250  kr.;København S, Strandlodsvej
3;lejlighed;105 m²;15.450  kr.;København S, Strandlodsvej
4;lejlighed;98 m²;18.550  kr.;København S, Strandlodsvej
3;lejlighed;76 m²;13.050  kr.;Skovlunde, Bybuen
4;lejlighed;101 m²;14.650  kr.;Skovlunde, Bybuen
3;lejlighed;62 m²;12.250  kr.;Skovlunde, Bybuen
3;lejlighed;86 m²;12.250  kr.;Hedehusene, Skinnestræde
5;lejlighed;126 m²;17.850  kr.;København S, Richard Mortensens Vej
2;lejlighed;59 m²;10.250  kr.;Hedehusene, Skinnestræde
5;lejlighed;113 m²;17.450  kr.;København S, Richard Mortensens Vej
2;lejlighed;64 m²;10.400  kr.;Hedehusene, Skinnestræde
2;lejlighed;59 m²;10.350  kr.;Hedehusene, Skolebakken
3;lejlighed;86 m²;12.250  kr.;Hedehusene, Skinnestræde
2;lejlighed;77 m²;12.800  kr.;København S, Hannemanns Allé
3;lejlighed;85 m²;11.500  kr.;Hedehusene, Havtornvej
1;lejlighed;49 m²;10.037  kr.;København N, Bjelkes Allé
1;lejlighed;38 m²;7.400  kr.;Valby, Følager
1;lejlighed;31 m²;7.800  kr.;Brønshøj, Kobbelvænget
1;lejlighed;35 m²;7.800  kr.;Brønshøj, Kobbelvænget
3;lejlighed;79 m²;15.500  kr.;Valby, Elstarvej
3;lejlighed;70 m²;14.000  kr.;København S, Else Alfelts Vej
3;lejlighed;85 m²;16.200  kr.;Bagsværd, Bagsværd Hovedgade
3;lejlighed;71 m²;13.625  kr.;København S, Robert Jacobsens Vej
2;lejlighed;61 m²;12.000  kr.;Frederiksberg, Borups Alle
2;lejlighed;69 m²;12.000  kr.;Frederiksberg, Bjarkesvej
1;værelse;31 m²;7.250  kr.;Søborg, Gyngemose Parkvej
4;rækkehus;119 m²;27.500  kr.;Herlev, Obovej
4;lejlighed;102 m²;16.550  kr.;København S, Richard Mortensens Vej
2;lejlighed;65 m²;12.900  kr.;København S, Richard Mortensens Vej
5;lejlighed;134 m²;20.800  kr.;København S, Strandlodsvej
3;lejlighed;88 m²;15.550  kr.;København S, Strandlodsvej
2;lejlighed;58 m²;12.850  kr.;København S, Gertrude Steins Vej
4;lejlighed;95 m²;16.250  kr.;København S, C.F. Møllers Allé
3;lejlighed;66 m²;14.350  kr.;København S, Gertrude Steins Vej
4;lejlighed;93 m²;16.350  kr.;København S, Nadine Gordimers Vej
1;værelse;40 m²;8.750  kr.;København SV, Poppelstykket
1;værelse;36 m²;8.500  kr.;København SV, Poppelstykket
1;værelse;37 m²;8.550  kr.;København SV, Poppelstykket
4;lejlighed;104 m²;16.150  kr.;København S, C.F. Møllers Allé
2;lejlighed;53 m²;12.750  kr.;København S, Gertrude Steins Vej
2;lejlighed;66 m²;15.300  kr.;København SV, Havneholmen
4;lejlighed;85 m²;12.900  kr.;Glostrup, Grannålen
4;lejlighed;116 m²;17.500  kr.;København SV, Poppelstykket
2;lejlighed;63 m²;9.500  kr.;Valby, Valborg Allé
3;lejlighed;102 m²;25.795  kr.;København K, Nytorv
2;lejlighed;58 m²;9.425  kr.;Hedehusene, Cikoriegade
3;lejlighed;88 m²;17.000  kr.;Frederiksberg, Aksel Møllers Have
1;værelse;10 m²;4.500  kr.;København V, Vesterbrogade
2;lejlighed;78 m²;10.650  kr.;Taastrup, Lindehaven
3;lejlighed;100 m²;12.650  kr.;Taastrup, Lindehaven
5;lejlighed;193 m²;27.298  kr.;København Ø, Kanslergade
3;hus;125 m²;25.000  kr.;Kongens Lyngby, Solvænget
3;lejlighed;79 m²;11.400  kr.;Taastrup, Falsterbogade
1;lejlighed;49 m²;10.300  kr.;Frederiksberg, Nordens Plads
4;lejlighed;123 m²;28.500  kr.;København Ø, Scherfigsvej
3;lejlighed;119 m²;26.800  kr.;København Ø, Scherfigsvej
3;lejlighed;118 m²;25.500  kr.;København Ø, Scherfigsvej
4;lejlighed;123 m²;27.500  kr.;København Ø, Scherfigsvej
1;lejlighed;46 m²;9.000  kr.;Søborg, Tinghøjvej
2;lejlighed;83 m²;18.000  kr.;København V, Lagergade
1;værelse;19 m²;5.900  kr.;København V, Asger Rygs Gade
3;lejlighed;84 m²;15.728  kr.;København S, Axel Heides Gade
3;lejlighed;74 m²;18.500  kr.;Hvidovre, Hvidovrevej
3;hus;98 m²;15.900  kr.;Værløse, Birkevang
2;lejlighed;88 m²;19.500  kr.;København K, Toldbodgade
2;lejlighed;63 m²;10.300  kr.;Taastrup, Skanørgade
3;lejlighed;73 m²;11.900  kr.;Taastrup, Skjeberg Allé
3;lejlighed;148 m²;21.800  kr.;København K, Løvstræde
2;lejlighed;85 m²;15.300  kr.;København K, Nygade
4;lejlighed;97 m²;14.950  kr.;Rødovre, Else Sørensens Vej
2;lejlighed;57 m²;8.850  kr.;København N, Stefansgade
3;lejlighed;71 m²;11.500  kr.;Kongens Lyngby, Lystoftevej
4;lejlighed;151 m²;19.500  kr.;Rødovre, Nørregårdsbakken
2;lejlighed;53 m²;13.200  kr.;København S, Ørestads Boulevard
4;lejlighed;98 m²;17.250  kr.;København S, Ørestads Boulevard
3;lejlighed;73 m²;13.992  kr.;København S, Else Alfelts Vej
3;lejlighed;83 m²;15.000  kr.;København N, Blegdamsvej
3;lejlighed;103 m²;21.500  kr.;København K, Nikolaj Plads
2;lejlighed;64 m²;12.800  kr.;København S, Else Alfelts Vej
3;lejlighed;121 m²;19.250  kr.;København K, Nytorv
3;lejlighed;102 m²;18.300  kr.;København K, Nygade
4;lejlighed;103 m²;15.200  kr.;Hvidovre, Kløverprisvej
1;værelse;19 m²;11.168  kr.;København V, Anker Heegaards Gade
2;lejlighed;51 m²;12.500  kr.;Kastrup, Helmer Søgårds Alle
3;lejlighed;76 m²;12.700  kr.;Herlev, Hørkær
4;lejlighed;102 m²;14.400  kr.;Herlev, Hørkær
3;lejlighed;84 m²;14.500  kr.;København S, Ved Amagerbanen
5;rækkehus;127 m²;15.981  kr.;Albertslund, Lækrogen
6;lejlighed;249 m²;32.764  kr.;København Ø, Kastelsvej
1;lejlighed;36 m²;7.300  kr.;Valby, Torveporten
2;lejlighed;68 m²;12.950  kr.;Valby, Paradisæblevej
3;lejlighed;86 m²;14.000  kr.;Valby, Ingrid Marievej
7;lejlighed;204 m²;30.600  kr.;Frederiksberg C, Nyvej
2;lejlighed;77 m²;13.200  kr.;København NV, Stærevej
1;værelse;30 m²;7.000  kr.;København K, Vendersgade
4;lejlighed;92 m²;13.500  kr.;Albertslund, Lækrogen
2;lejlighed;74 m²;10.333  kr.;Brøndby, Kirkebjerg Parkvej
2;lejlighed;54 m²;11.200  kr.;Herlev, Hørkær
4;lejlighed;105 m²;12.747,42  kr.;Taastrup, Jens Kofoeds Gade
3;lejlighed;88 m²;17.000  kr.;København SV, Havneholmen
3;lejlighed;91 m²;17.000  kr.;København SV, Havneholmen
2;lejlighed;77 m²;11.100  kr.;Brøndby, Wattvej
4;lejlighed;98 m²;13.500  kr.;Glostrup, Baneleddet
2;lejlighed;68 m²;10.700  kr.;Glostrup, Baneleddet
2;lejlighed;60 m²;10.800  kr.;Glostrup, Baneleddet
100;lejlighed;100 m²;16.700  kr.;København K, Nikolaj Plads
3;lejlighed;50 m²;13.000  kr.;København NV, Theklavej
1;værelse;20 m²;8.947  kr.;København V, Vester farimagsgade
2;lejlighed;56 m²;8.500  kr.;Albertslund, Rådhusdammen
1;værelse;12 m²;3.550  kr.;København N, Brohusgade
2;lejlighed;78 m²;12.050  kr.;Søborg, Gyngemose Parkvej
3;lejlighed;96 m²;16.000  kr.;Rødovre, Blomsterstræde
2;lejlighed;63 m²;10.800  kr.;Brøndby, Kirkebjerg Søpark
4;lejlighed;104 m²;14.800  kr.;Brøndby, Elementfabrikken
3;lejlighed;88 m²;14.100  kr.;Rødovre, Gunnekær
3;lejlighed;73 m²;12.900  kr.;Rødovre, Gunnekær
5;lejlighed;154 m²;23.400  kr.;Valby, Carl Jacobsens Vej
1;værelse;18 m²;10.750  kr.;København Ø, Nordre Frihavnsgade
3;lejlighed;83 m²;18.500  kr.;Hellerup, Lille Strandvej
3;lejlighed;64 m²;13.400  kr.;København S, Lyneborggade
2;lejlighed;72 m²;12.700  kr.;Hvidovre, Snedkerhaven
4;lejlighed;115 m²;14.500  kr.;Ballerup, Rolighedsvej
5;lejlighed;263 m²;50.900  kr.;København Ø, Stavangergade
1;lejlighed;41 m²;8.450  kr.;København NV, Dortheavej
1;lejlighed;41 m²;8.450  kr.;København NV, Dortheavej
7;hus;182 m²;36.900  kr.;Virum, Tværvej
1;lejlighed;35 m²;7.300  kr.;Valby, Torveporten
1;lejlighed;36 m²;7.350  kr.;Valby, Torveporten
4;lejlighed;110 m²;16.500  kr.;Valby, Løgæblevej
4;lejlighed;88 m²;14.900  kr.;Valby, Elstarvej
2;hus;161 m²;25.000  kr.;Skodsborg, Skodsborg Strandvej
4;lejlighed;110 m²;16.500  kr.;København S, Richard Mortensens Vej
4;lejlighed;117 m²;18.000  kr.;Frederiksberg C, Carit Etlars Vej
2;lejlighed;66 m²;11.665  kr.;København S, Robert Jacobsens Vej
4;lejlighed;113 m²;15.763  kr.;København S, Robert Jacobsens Vej
4;lejlighed;105 m²;14.613  kr.;København S, Robert Jacobsens Vej
2;lejlighed;59 m²;10.412  kr.;København S, Richard Mortensens Vej
2;lejlighed;73 m²;14.995  kr.;København S, Amager Strandvej
3;lejlighed;73 m²;13.600  kr.;København Ø, Hildursgade
3;lejlighed;108 m²;19.000  kr.;København Ø, Holsteinsgade
1;værelse;12 m²;5.500  kr.;Brønshøj, Husumvej
4;lejlighed;106 m²;21.100  kr.;København V, Lagergade
1;værelse;24 m²;5.000  kr.;København V, Vesterbrogade
4;lejlighed;100 m²;15.100  kr.;København S, Hannemanns Allé
4;lejlighed;102 m²;16.400  kr.;København SV, Pladehals Allé
2;lejlighed;65 m²;13.328  kr.;København S, Artillerivej
3;lejlighed;95 m²;16.428  kr.;København S, Poul Hartlings Gade
1;værelse;24 m²;8.333  kr.;København K, Wildersgade
1;værelse;15 m²;4.000  kr.;Ishøj, Murergården
3;lejlighed;159 m²;19.800  kr.;København K, Tordenskjoldsgade
2;lejlighed;63 m²;11.950  kr.;Frederiksberg, Bernhard Bangs Alle
